Time,Latitude,Longitude
2018-09-04 18:56:14,36.9595194,-122.0459411
2018-09-04 19:02:19,36.9623964,-122.0441562
2018-09-04 19:04:24,36.9630741,-122.0432512
2018-09-04 19:37:21,36.9679485,-122.0426085
2018-09-04 19:48:12,36.9999822,-122.0623429
2018-09-04 20:10:36,37.0008203,-122.0624729
2018-09-05 00:36:39,37.0007812,-122.0629563
2018-09-05 00:46:54,37.0000822,-122.0622037
2018-09-05 00:49:37,36.9979148,-122.0552457
2018-09-05 00:53:00,36.9856601,-122.0536314
2018-09-05 00:56:06,36.9717924,-122.0482692
2018-09-05 01:00:01,36.9653475,-122.0384486
2018-09-05 01:02:26,36.9640553,-122.0398951
2018-09-05 01:06:07,36.961675,-122.041384
2018-09-05 01:08:58,36.9603332,-122.0433464
2018-09-05 01:12:02,36.9591811,-122.044705
2018-09-05 01:14:10,36.962826,-122.043568
2018-09-05 01:16:24,36.9691477,-122.0375439
2018-09-05 01:18:48,36.9843647,-122.0296085
2018-09-05 01:20:55,36.9881131,-121.9978432
2018-09-05 01:23:04,36.9857012,-121.9820486
2018-09-05 01:25:05,36.9810818,-121.9658434
2018-09-05 01:27:14,36.9757495,-121.9650215
2018-09-05 01:29:17,36.9694789,-121.9649524
2018-09-05 01:33:24,36.9734792,-121.9648834
2018-09-05 01:35:33,36.9799736,-121.9649305
2018-09-05 01:37:55,36.9856194,-121.9642636
2018-09-05 01:41:32,36.9861672,-121.9634893
2018-09-05 01:53:55,36.9856455,-121.9642204
2018-09-05 01:57:07,36.98316,-121.9647391
2018-09-05 01:59:13,36.9838485,-121.9335265
2018-09-05 02:02:47,36.97271,-121.8798366
2018-09-05 02:07:28,36.9307355,-121.8086044
2018-09-05 02:13:04,36.9155899,-121.7663348
2018-09-05 02:15:22,36.9108714,-121.7589448
2018-09-05 02:18:49,36.9113835,-121.758081
2018-09-05 02:37:44,36.910885,-121.7584533
2018-09-05 04:10:48,36.9109601,-121.7584084
2018-09-05 07:41:22,36.9107204,-121.7583538
2018-09-05 07:55:43,36.9106391,-121.7584321
2018-09-05 18:49:54,36.9109399,-121.7583621
2018-09-05 18:53:55,36.9110898,-121.7584609
2018-09-05 19:12:51,36.9109749,-121.7583798
2018-09-05 19:29:16,36.9101483,-121.7592646
2018-09-05 19:32:25,36.9107851,-121.7585566
2018-09-05 19:33:46,36.9074247,-121.7611438
2018-09-05 19:35:49,36.8954363,-121.7739911
2018-09-05 19:38:07,36.9259764,-121.7990834
2018-09-05 19:40:13,36.9402706,-121.8365945
2018-09-05 19:42:16,36.9639393,-121.865802
2018-09-05 19:44:32,36.9757839,-121.9059589
2018-09-05 19:46:46,36.9842209,-121.9464627
2018-09-05 19:48:57,36.9837299,-121.9644159
2018-09-05 19:51:07,36.9775767,-121.9650542
2018-09-05 19:53:12,36.9706167,-121.9650274
2018-09-05 19:55:21,36.9634626,-121.9669632
2018-09-05 20:00:08,36.9632518,-121.9694491
2018-09-05 20:10:36,36.963454,-121.9709269
2018-09-05 20:12:37,36.9629251,-121.9889698
2018-09-05 20:15:49,36.9679764,-122.0011679
2018-09-05 20:18:00,36.9675581,-122.0130925
2018-09-05 20:21:09,36.9693679,-122.0238858
2018-09-05 20:37:17,36.9681008,-122.0429825
2018-09-05 20:39:23,36.9710027,-122.0477912
2018-09-05 20:42:47,36.9782819,-122.0574039
2018-09-05 20:48:17,36.9971661,-122.0637891
2018-09-05 20:49:21,37.0005452,-122.0624259
2018-09-05 20:55:50,37.0007821,-122.062906
2018-09-05 21:12:20,37.0007784,-122.0624636
2018-09-06 00:06:28,37.000175,-122.0619182
2018-09-06 00:18:00,36.9998229,-122.0589607
2018-09-06 00:22:35,36.9866171,-122.054254
2018-09-06 00:25:18,36.978507,-122.0542211
2018-09-06 00:32:42,36.9653273,-122.041308
2018-09-06 00:36:08,36.9629994,-122.0432477
2018-09-06 00:39:13,36.9618462,-122.0444142
2018-09-06 00:42:50,36.9627813,-122.0436532
2018-09-06 00:57:53,36.9865393,-122.0322759
2018-09-06 01:02:13,36.9864236,-122.0323116
2018-09-06 01:09:43,36.9857792,-122.0320648
2018-09-06 01:11:54,36.9854583,-122.0300744
2018-09-06 01:14:04,36.9883384,-122.008746
2018-09-06 01:16:12,36.9881401,-121.9983415
2018-09-06 01:18:44,36.9873026,-121.9877314
2018-09-06 01:20:58,36.984974,-121.9785299
2018-09-06 01:23:16,36.9844036,-121.9761668
2018-09-06 01:25:15,36.9828109,-121.967432
2018-09-06 01:27:55,36.9834249,-121.9550639
2018-09-06 01:32:04,36.9823457,-121.9220587
2018-09-06 01:34:37,36.9753581,-121.9027125
2018-09-06 01:36:35,36.9716246,-121.8765217
2018-09-06 01:50:32,36.9102027,-121.7586186
2018-09-06 05:36:05,36.9109093,-121.7583137
2018-09-06 06:13:19,36.9109535,-121.7581819
2018-09-06 14:27:18,36.9104805,-121.7583878
2018-09-06 14:29:57,36.9110904,-121.7590821
2018-09-06 14:32:05,36.905131,-121.7677401
2018-09-06 14:34:06,36.8937767,-121.7830764
2018-09-06 14:36:15,36.8877607,-121.8042364
2018-09-06 14:38:25,36.9056901,-121.8270676
2018-09-06 14:40:31,36.9229202,-121.8412463
2018-09-06 14:42:35,36.9347655,-121.8597517
2018-09-06 14:44:52,36.9486448,-121.8633469
2018-09-06 14:47:12,36.9518221,-121.871173
2018-09-06 14:49:52,36.9587028,-121.8842555
2018-09-06 14:52:35,36.971191,-121.8964006
2018-09-06 14:54:36,36.9729924,-121.9031986
2018-09-06 14:56:42,36.974594,-121.9042187
2018-09-06 14:58:45,36.9766289,-121.91205
2018-09-06 15:00:47,36.983555,-121.9313117
2018-09-06 15:03:02,36.9769394,-121.9447934
2018-09-06 15:05:26,36.9725559,-121.9528966
2018-09-06 15:07:30,36.9680615,-121.9613592
2018-09-06 15:10:38,36.9696295,-121.9646096
2018-09-06 15:26:09,36.9706572,-121.9648657
2018-09-06 15:28:21,36.9826472,-121.9619241
2018-09-06 15:30:32,36.982659,-121.9233417
2018-09-06 15:32:33,36.974776,-121.8856672
2018-09-06 15:34:49,36.9494302,-121.8510682
2018-09-06 15:36:56,36.9315363,-121.8112578
2018-09-06 15:39:57,36.91842,-121.7830735
2018-09-06 15:42:13,36.9162956,-121.7701007
2018-09-06 15:44:28,36.9111568,-121.7591092
2018-09-06 15:46:50,36.9110547,-121.7579341
2018-09-06 15:55:45,36.9110668,-121.7584152
2018-09-06 16:05:23,36.9108259,-121.7582148
2018-09-06 16:12:40,36.9109891,-121.7582692
2018-09-06 16:19:46,36.9108423,-121.7583481
2018-09-06 17:08:29,36.910804,-121.7583683
2018-09-06 17:47:45,36.9103997,-121.7585548
2018-09-06 17:50:10,36.9095726,-121.7612062
2018-09-06 17:52:35,36.9056378,-121.7584834
2018-09-06 17:54:37,36.8953152,-121.7734991
2018-09-06 17:56:44,36.9227024,-121.7937272
2018-09-06 17:58:52,36.9381077,-121.8312642
